time,argentina,brazil,mexico,philippines,argentina_output,brazil_output,mexico_output,philippines_output
1980Q1,-,-,-,-,194615904.432019,-,926115,-
1980Q2,-,-,-,-,208340783.390797,-,937839,-
1980Q3,-,-,-,-,217856348.016819,-,930147,-
1980Q4,-,-,-,-,214743969.644574,-,997015,-
1981Q1,-,-,-,-,193452057.405525,-,1002958,-
1981Q2,-,-,-,-,202868269.236603,-,1033798,-
1981Q3,-,-,-,-,197695841.075302,-,1009352,-
1981Q4,-,-,-,-,196237990.880095,-,1068864,-
1982Q1,-,-,-,-,181057289.33417,-,1033104,159.109
1982Q2,-,-,-,-,186367594.843556,-,1039403,165.495
1982Q3,-,-,-,-,197040923.671892,-,1001564,151.909
1982Q4,-,-,-,-,200830523.136208,-,1017996,176.954
1983Q1,0.184052083333,-,-,-,185960045.623477,-,991778,164.767
1983Q2,0.176152083333,-,-,-,200773750.110525,-,989032,174.926
1983Q3,0.231252083333,-,-,-,206177325.590676,-,960689,154.601
1983Q4,0.22681875,-,-,-,203851659.145748,-,1008890,171.423
1984Q1,0.229085416667,-,-,-,186049260.378121,-,1024508,157.448
1984Q2,0.260952083333,-,-,-,206813994.521546,-,1018082,163.802
1984Q3,0.233952083333,-,-,-,209170075.087375,-,1005541,137.68
1984Q4,0.204285416667,-,-,-,210658339.403484,-,1037134,158.032
1985Q1,0.188952083333,-,-,-,181572301.781433,-,1042345,139.99
1985Q2,0.215452083333,-,-,-,190232215.806096,-,1055528,147.629
1985Q3,0.20651875,-,-,-,187681484.866497,-,1017281,130.098
1985Q4,0.203752083333,-,-,-,196722589.206457,-,1060118,154.166
1986Q1,0.200052083333,-,-,-,183044345.233062,-,1009457,139.896
1986Q2,0.18541875,-,-,-,203969260.413234,-,1050765,151.701
1986Q3,0.17741875,-,-,-,213849794.490073,-,969225,140.092
1986Q4,0.173685416667,-,-,-,209320118.083822,-,1015668,159.734
1987Q1,0.184652083333,-,-,-,189974709.582464,-,999292,144.219
1987Q2,0.170985416667,-,-,-,213075248.211117,-,1052997,157.193
1987Q3,0.202585416667,-,-,-,218853931.182385,-,997190,149.537
1987Q4,0.222652083333,-,-,-,209271455.49038,-,1065906,165.974
1988Q1,0.236385416667,-,-,-,198908350.695239,-,1025809,152.816
1988Q2,0.224752083333,-,-,-,210277149.088187,-,1064177,160.89
1988Q3,0.22641875,-,-,-,203610373.786597,-,998123,158.376
1988Q4,0.247952083333,-,-,-,202635094.309692,-,1080155,186.499
1989Q1,0.291052083333,-,-,-,190828332.575763,-,1057160,162.483
1989Q2,0.30931875,-,-,-,191164915.513739,-,1114931,169.601
1989Q3,0.278352083333,-,-,-,183433645.9806,-,1056720,166.98
1989Q4,0.329652083333,-,-,-,193439891.757165,-,1114450,200.384
1990Q1,0.37771875,-,-,-,166922833.547253,-,1102621,171.001
1990Q2,0.282285416667,-,-,-,185228079.113783,-,1158817,175.53
1990Q3,0.23821875,-,-,-,193437864.149105,-,1107311,173.135
1990Q4,0.260752083333,-,-,-,199388893.805481,-,1194642,201.024
1991Q1,0.22641875,-,-,-,180309101.959995,89.9161611730421,1144606,170.766
1991Q2,0.181285416667,-,-,-,208610455.262789,102.576782638388,1224247,173.321
1991Q3,0.161252083333,-,-,-,213397637.892672,109.533565725681,1144688,169.851
1991Q4,0.152485416667,-,-,-,221467517.971846,102.099427573681,1242527,202.584
1992Q1,0.145052083333,-,-,-,206854546.682748,95.4230914964869,1200759,174.547
1992Q2,0.129485416667,-,-,-,234054908.808911,100.286214402743,1253158,172.868
1992Q3,0.13441875,-,-,-,231990803.803735,104.378311512118,1196303,170.486
1992Q4,0.144885416667,-,-,-,230019968.769324,101.841572529735,1278429,201.04
1993Q1,0.12271875,-,-,-,216370111.30877,98.4995750558691,1248725,175.701
1993Q2,0.116885416667,-,-,-,241871858.424109,105.936765124841,1260352,177.248
1993Q3,0.103685416667,-,-,-,242645522.368044,110.578021793994,1211580,175.044
1993Q4,0.0889520833333,-,-,-,245132428.825368,106.708900849734,1304127,206.163
1994Q1,0.0936520833333,-,6.91110717204,9.62524743548,232945325.729629,102.458758434034,1277838,182.112
1994Q2,0.105255376344,-,8.92600452151,11.8438983306,257476894.642915,108.638613020406,1331435,185.472
1994Q3,0.112693229167,13.9072171979,9.07344033854,11.6405139141,253467778.054945,117.006318504189,1267386,183.936
1994Q4,0.132736065574,13.5136593279,10.2010980984,12.1875462787,257341543.717772,118.302498761671,1372142,214.848
1995Q1,0.204531182796,18.0304516505,19.824413586,13.5552948629,237968103.102878,113.505844780288,1272242,190.873
1995Q2,0.172752380953,17.3130055556,17.3938611905,12.240496754,248093639.28008,116.463491804611,1209053,193.439
1995Q3,0.167019047619,16.0297969365,14.872463873,10.8440478254,242214699.114025,119.024218461176,1165580,194.997
1995Q4,0.165885483871,15.5432283226,17.1779749194,11.0802821855,244467964.580857,116.267909612446,1275557,222.915
1996Q1,0.131106451613,13.1697549839,13.6839723065,9.86687483871,236566036.583883,110.972756475689,1273078,200.77
1996Q2,0.125463492063,12.7349662857,12.1370066349,9.51878531746,260751925.15896,118.115119156597,1287401,206.169
1996Q3,0.122602604167,11.3972070885,11.3346048385,9.08246542969,262166963.785311,126.497205987821,1248665,206.844
1996Q4,0.107500537634,10.442556847,10.3627191344,8.26549956452,267020046.695234,122.045776334364,1366292,235.338
1997Q1,0.092915,9.45504555,9.06168768333,8.184372175,256387856.694618,116.251835004753,1331527,211.791
1997Q2,0.0878369791667,9.34390896354,8.96586146354,8.51771491406,281769800.756241,123.84838578689,1395247,217.644
1997Q3,0.0804916666667,8.80072216667,8.21406693229,8.56769317969,284092267.477787,128.874579016632,1342048,216.913
1997Q4,0.0966467741935,10.4283142419,9.069978,9.66022841129,287515345.560875,124.28122105882,1457278,246.512
1998Q1,0.0943989071038,10.2243355301,8.95635739891,9.46641777049,271702367.681833,117.310734655345,1431862,214.203
1998Q2,0.0946888888889,10.316351,9.09020387302,9.42988313492,301207597.823355,125.970065757093,1455594,215.718
1998Q3,0.124342708333,14.5532063958,11.7528350208,11.804400004,293315403.64077,128.889494455587,1412882,215.118
1998Q4,0.117333333333,15.9656112849,12.1503258172,11.1610012297,286267849.284937,121.736410528835,1496902,241.128
1999Q1,0.120924043716,17.6788960273,11.3372250273,9.74574471665,265024635.891772,118.099291324626,1460942,217.524
1999Q2,0.113133333333,13.962240619,10.101490127,8.85501783492215,286412326.911495,125.483282720325,1504375,223.533
1999Q3,0.12740625,15.2769431875,10.8860957812,8.56741425,278472693.480233,128.354021638359,1473442,223.302
1999Q4,0.112763978495,13.1302717849,9.70002497849,8.45959763978,283566399.203372,125.980486525987,1575240,253.023
2000Q1,0.108390476191,12.333042873,9.13143092063,8.99837061905,264555918.068942,124.312095197602,1569816,224.485
2000Q2,0.121274242424,13.3157742857,9.73402936508,10.7510449206,285275175.903448,130.952947871204,1615361,233.515
2000Q3,0.127052039683,12.9557552381,9.3561884127,11.4771803175,276767971.04489,133.697654027021,1577915,233.761
2000Q4,0.140973384409,13.7179344086,9.69018166667,12.6100736022,278091676.39332,130.674726385361,1649955,262.719
2001Q1,0.123676077957,12.0907363441,8.78205037634,10.9355110215,259199873.894322,129.689366958042,1600674,232.216
2001Q2,0.134948185714,11.9178320635,7.08091142857,9.28446984127,284795762.94893,133.669009190938,1617266,240.954
2001Q3,0.180638516393,12.9300332787,6.72210213115,9.1088657377,263126505.40141,134.368522434386,1553696,241.462
2001Q4,0.316251237635,12.1213366667,5.50285198925,7.77558037634,248864555.222607,129.769769943688,1623693,272.801
2002Q1,0.49800936,9.78204283333,4.50024766667,6.08218716667,217067351.013441,128.742504469439,-,
2002Q2,0.563882368229,11.8142693229,4.38051385417,5.43130697917,,,,
